x,y,z
64.32,6.21,236.5220491
9.76,86.65,-283.1870144
18.33,32.97,-48.80711263
44.73,93.6,-167.7296627
40.39,27.69,60.37387977
11.77,81.73,-255.1423963
45.1,52.13,-12.76246167
60.18,0.15,245.5106677
96.24,30.09,278.4864657
76.47,0.19,309.5024458
19.18,77.43,-213.3683668
19.69,46.77,-89.8541616
41.87,11.03,132.00426
49.83,8.19,171.0154367
94,55.92,169.6651966
65.38,55.59,58.50807797
14.68,82.89,-249.9998577
9.31,38.94,-108.2735224
22.07,29.67,-18.93322519
67.71,26.85,174.2628931
86.77,14.25,297.2715412
10.52,5.78,23.57439307
69.04,70.9,15.40021904
6.04,67.97,-227.1616365
83.74,14.83,286.5911229
27.33,65.64,-133.9522768
1.23,92.86,-341.3045213
20.62,26.29,-12.37088881
80.68,14.97,273.8410894
67.32,18.09,205.677676
0.51,59.9,-218.3285327
50.11,65.12,-39.94770369
31.64,90.11,-209.8718011
77.27,75.8,33.62797191
17.06,95.79,-285.3482873
63.76,64.96,12.61377053
33.46,21.87,55.26103034
14.46,90.71,-279.2687436
1.19,1.97,0.048237724
27.84,69.62,-144.8972977
59.19,31.75,118.6697621
15.4,43.66,-101.3700702
21.17,89.48,-248.0952282
70.27,6.92,261.6445757
38.9,67.03,-91.93453363
50.63,45.43,34.22509785
85.77,84.82,26.65241242
66.12,50.89,77.88266357
48.29,90.01,-138.4707879
35.28,11.57,104.3699317
78.24,81.09,14.3270731
83.12,67.65,82.11155591
30.12,84.04,-192.2165107
74.36,2.26,295.2521518
25.29,83.03,-208.2172423
32.17,54.47,-69.66321711
75.99,10.73,269.6422191
83.02,58.65,121.3310572
35.62,0.77,146.2949378
45.96,81.55,-120.4533301
25.2,57.34,-111.2243754
93.09,6.76,349.8990032
77.92,76.33,29.61016634
85,29.05,238.7717935
48.55,44.63,32.60403468
65.1,92.38,-80.47145057
32.66,96.18,-224.2764687
11.31,56.26,-162.1709378
10.61,82.78,-262.8073924
2.35,0.3,16.28702658
46.96,37.41,54.02912445
76.58,20.72,235.4807155
41.89,23.83,83.58152831
47.46,56.85,-19.90363898
20.84,11.69,43.562436
9.44,21.31,-39.2591162
98.16,54.04,196.5395371
16.38,25.78,-26.75467827
54.7,27.07,121.3284635
6.51,92.4,-318.7528813
45.89,60.23,-36.84424409
60.59,36.47,110.2354045
11.44,45.22,-119.3616216
19.1,31.23,-36.5424423
10.53,15.9,-10.49092606
34.73,23.49,55.90775109
66.73,36.66,132.7720372
71.12,82.98,-22.28321013
28.84,19.84,43.86477604
50.14,88.02,-128.2675151
98.49,31.72,282.4698845
4.56,45.17,-145.9139755
66.03,80.72,-33.53903646
55.91,91.69,-115.5662865
53.88,92.44,-127.8936071
22.81,75.72,-189.2340375
44.3,34.03,54.69257131
95.5,98.97,17.56571462
6.44,50.68,-159.9144722
77.63,25.99,218.3983646
21.45,64.25,-153.3653297
44.51,98.98,-188.9246684
1.22,40.1,-143.4417177
71.21,1.03,287.4259787
96.49,32.17,270.639617
58.22,54.36,32.3808074
38.79,19.29,85.72911462
93.59,88.08,47.89613303
36.28,96.55,-212.8135389
34.99,40.46,-6.146829913
35.79,51.54,-47.14451994
55.71,58.75,5.384768181
44.31,76.28,-103.5854346
7.84,65.22,-212.0552059
55.97,41.99,68.3025086
25.12,3.67,92.13340889
1.59,93.93,-344.0514991
90.42,79.56,67.12227975
6.53,92.28,-317.2750897
27.45,8.37,81.68968085
83.52,28.93,231.864313
11.74,4.48,32.97070767
91.23,34.09,244.2106068
13.76,79.99,-242.4791017
52.79,99.22,-156.0598807
89.35,11.34,319.2515868
79.47,64.69,79.32058757
71.61,70.58,28.84930929
32.69,38.24,-10.8558104
33.5,46.93,-37.34987496
30.93,95.83,-231.8135981
49.79,79.87,-93.7607139
8.93,38.5,-104.0542889
42.22,12.15,128.021917
1.39,20.92,-67.383201
44.7,87.87,-145.832134
13.45,20.52,-21.88569036
69.64,52.68,85.07324301
49.37,53.54,-1.088603499
26.48,87.17,-219.1124653
50.55,78.09,-89.50566
91.93,32.99,250.9418139
90.49,14.79,314.4031134
49.34,18.6,134.1291668
6.9,18.71,-38.42091994
46.16,31.05,73.82542867
88.75,74.67,80.19774672
25.96,78.16,-192.7275284
24.18,42.81,-60.69122838
1.04,75.13,-272.725893
75.77,84.48,-11.85031244
4,37.62,-121.0778999
52.8,49,31.44301818
43.34,7.1,149.9957883
70.44,46.58,109.1874195
17.47,69.55,-188.3811328
25.46,89.51,-231.3088032
82.91,43.98,172.8302179
43.44,59.8,-46.72124567
23.12,1.62,93.37244079
49.48,69.88,-60.4534609
4.53,86.96,-304.4556448
85.94,67.88,93.30004367
68.66,56.28,70.22744475
22.88,13.22,46.73244753
78.71,93.22,-30.84969525
57.39,19.73,162.7917423
34.41,1.93,135.9905113
68.29,14.81,220.3703405
82.8,78.81,38.28035527
94.84,62.22,152.4930075
64.39,48.67,79.75904145
35.48,60.96,-86.04966723
52.76,62.49,-23.62360294
71.98,20.85,214.34673
42.32,72.36,-99.47791694
72.66,49.96,105.6410841
1.56,58.29,-209.3449486
24.58,2.8,91.65638746
77.17,74.16,32.87126886
4.83,32.98,-98.91626747
90.38,5.12,348.8145458
48.68,82.91,-114.0761294
29.11,82.66,-189.1617591
23.66,95.18,-258.7683329
15.42,89.43,-271.650526
37.01,68.58,-105.5683709
57.88,84.72,-83.64283423
85.93,59.4,123.4760299
59.27,22.63,159.9768428
68.32,95.55,-79.36503923
38.84,97.94,-209.2112064
86.06,65.54,103.50238
38.3,83.5,-156.4644039
39.15,76.41,-125.527405
68.44,89.29,-55.95333992
94.8,77.24,96.82373224
23.58,89.82,-238.6815083
81.59,61.41,97.66704528
24.23,19.42,31.95113066
73.49,24.73,204.757141
88.14,42.09,200.4571163
51.16,63.02,-26.05856736
90.27,36.11,231.4769314
95.03,2.89,376.4767019
80.67,60.11,104.0061883
8.28,83.01,-275.9820275
49.4,2.56,195.2789469
44.11,99.41,-191.4988932
99.6,59.54,179.3904939
17.26,46.84,-104.14197
68.72,9.08,247.1144917
20.94,3.22,77.45975918
84.65,78.78,45.16645614
73.23,73.9,20.59393576
55.95,25.01,137.07219
24.26,21.26,22.90784835
21.3,94.2,-265.195309
43.21,82.7,-134.7888281
15.43,69.96,-194.7804989
74.26,47,125.3841415
41.33,20.96,89.80165308
30.51,91.99,-218.8796003
11.07,64.04,-190.5640092
33.29,33.38,14.57146771
22.24,21.5,13.32397801
88.45,2.05,352.5994653
16.39,93.43,-283.2305192
59.31,19.66,169.0276818
7.89,6.65,10.3688662
79.41,2.19,314.2805041
68.73,2.03,274.8882517
80.52,14.77,274.2035523
54.12,73.08,-51.82837372
0.7,66.74,-245.1103246
95.77,92.9,37.89524283
7.05,39.36,-118.6710718
51.83,49.05,28.73431888
10.16,91.58,-297.7323907
54.41,34.85,89.36146809
59.97,0.89,243.960008
90.24,31.93,245.0831635
19.52,79.55,-215.9877545
17.46,64.89,-167.1109626
76.46,11.45,267.9052575
91.57,84.36,55.03286153
